ID,Phase,Area,Task,Acceptance Criteria,Priority,Status,Owner,Estimate Days,Target Day,Dependencies,Notes,Last Updated
PB-016,Phase 4 Vector DB,Vector DB,Add vector store factory,Factory chooses qdrant/pinecone/chroma/mongo by env config.,P0,Not Started,Dev,0.5,Day 3,"PB-014, PB-015",,
PB-017,Phase 4 Vector DB,Vector DB,Add Pinecone/Chroma/Mongo skeleton adapters,Adapters compile and raise useful NotConfiguredError if missing settings.,P2,Not Started,Dev,0.6,Day 3,PB-016,,
PB-018,Phase 5 LLM Providers,Backend,Create BaseLLMProvider and BaseEmbeddingProvider,Provider interfaces are async and model-agnostic.,P0,Not Started,Dev,0.4,Day 3,PB-007,,
PB-019,Phase 5 LLM Providers,Backend,Implement Gemini provider,Gemini chat and embedding provider work using env config.,P0,Not Started,Dev,1.0,Day 3,PB-018,,
PB-020,Phase 5 LLM Providers,Backend,Create provider factory,RAG services receive providers through factory/dependency injection.,P0,Not Started,Dev,0.5,Day 3,PB-019,,
PB-021,Phase 5 LLM Providers,Backend,Add OpenAI/Anthropic/local skeletons,Skeleton adapters are clean and easy to complete later.,P2,Not Started,Dev,0.5,Day 4,PB-020,,
PB-022,Phase 6 Ingestion,Backend,Create connector abstraction,"BaseConnector supports list_files, get_metadata, download/read content.",P0,Not Started,Dev,0.5,Day 4,PB-012,,
PB-023,Phase 6 Ingestion,Backend,Implement local folder connector,Scans .txt .md .pdf .docx .csv files and returns metadata.,P0,Not Started,Dev,1.0,Day 4,PB-022,,
PB-024,Phase 6 Ingestion,Backend,Create document loaders,Text extraction works for MVP supported formats.,P0,Not Started,Dev,1.0,Day 4,PB-023,,
PB-025,Phase 6 Ingestion,Backend,Create chunking strategy,Configurable chunk size/overlap with metadata preserved.,P0,Not Started,Dev,0.7,Day 4,PB-024,,
PB-026,Phase 6 Ingestion,Backend,Create hash/version service,"Unchanged files skipped, changed files versioned.",P0,Not Started,Dev,0.7,Day 4,"PB-012, PB-024",,
PB-027,Phase 6 Ingestion,Backend,Build ingestion service,End-to-end local folder indexing into MongoDB and Qdrant.,P0,Not Started,Dev,1.0,Day 5,"PB-015, PB-019, PB-025, PB-026",,
PB-028,Phase 6 Ingestion,Frontend,Build ingestion UI,Sources page can submit local folder path and show job progress.,P1,Not Started,Dev,0.8,Day 5,PB-027,,
PB-029,Phase 7 Google Drive,Google Drive,Document Google OAuth setup,"Docs explain client ID, API key, redirect URI, and scopes.",P0,Not Started,Dev,0.4,Day 5,PB-006,,
PB-030,Phase 7 Google Drive,Frontend,Create Connect Google Drive button,Button starts auth/picker flow and shows connection state.,P0,Not Started,Dev,0.8,Day 5,"PB-003, PB-029",,
PB-031,Phase 7 Google Drive,Frontend,Implement Google Picker component,User can choose files/folder and see selected source cards.,P0,Not Started,Dev,1.0,Day 6,PB-030,,
PB-032,Phase 7 Google Drive,Backend,Create Google Drive connector skeleton,Connector lists/downloads selected files; folder sync mode documented.,P0,Not Started,Dev,1.0,Day 6,"PB-022, PB-031",,
PB-033,Phase 7 Google Drive,Backend,Add Drive ingestion endpoints,picker-selection and folder-sync endpoints create source and ingestion job.,P0,Not Started,Dev,0.8,Day 6,"PB-027, PB-032",,
PB-034,Phase 8 RAG,RAG,Create query schemas,"Query request/response includes answer, citations, scores, trace_id.",P0,Not Started,Dev,0.4,Day 6,PB-012,,
PB-035,Phase 8 RAG,RAG,Create retrieval service,Vector search plus optional keyword search returns candidates.,P0,Not Started,Dev,0.8,Day 6,"PB-015, PB-019",,
PB-036,Phase 8 RAG,RAG,Create freshness resolver,Resolver prefers latest valid document using modified_at/version/hash.,P0,Not Started,Dev,0.8,Day 6,PB-035,,
PB-037,Phase 8 RAG,RAG,Create reranker/context grader,Candidate chunks are sorted and filtered before prompt building.,P1,Not Started,Dev,0.8,Day 7,PB-035,,
PB-038,Phase 8 RAG,RAG,Create prompt builder and citation service,Prompt includes context and citation rules; answer includes source references.,P0,Not Started,Dev,0.7,Day 7,"PB-036, PB-037",,
PB-039,Phase 8 RAG,RAG,Implement LangGraph RAG graph,All RAG nodes emit trace events and return final answer.,P0,Not Started,Dev,1.5,Day 7,"PB-038, PB-020",,
PB-040,Phase 8 RAG,Backend,Create query endpoint,POST /query runs graph and persists trace/session.,P0,Not Started,Dev,0.5,Day 7,PB-039,,
PB-041,Phase 8 RAG,Frontend,Build chat page,"User asks question, sees answer, citations, confidence, and trace link.",P0,Not Started,Dev,1.0,Day 7,PB-040,,
PB-042,Phase 9 Observability,Observability,Create trace service,"Trace events persisted with node name, timestamps, payload, score.",P0,Not Started,Dev,0.7,Day 7,PB-012,,
PB-043,Phase 9 Observability,Backend,Create trace API,GET /traces/{trace_id} returns operational trace.,P0,Not Started,Dev,0.4,Day 8,PB-042,,
PB-044,Phase 9 Observability,Frontend,Build trace timeline UI,"Timeline shows query rewrite, retrieval, rerank, freshness, answer, scores.",P0,Not Started,Dev,1.0,Day 8,PB-043,,
PB-045,Phase 9 Observability,Observability,Add structured logging,"Backend logs include request_id, job_id, trace_id, latency, provider.",P1,Not Started,Dev,0.5,Day 8,PB-042,,
PB-046,Phase 10 Evaluation,Evaluation,Create scoring service,"Calculates retrieval, freshness, coverage, citation, confidence, latency scores.",P0,Not Started,Dev,1.0,Day 8,PB-039,,
PB-047,Phase 10 Evaluation,Evaluation,Create evaluation backend,Golden dataset and eval run endpoints work.,P1,Not Started,Dev,1.0,Day 8,PB-046,,
PB-048,Phase 10 Evaluation,Frontend,Build evaluation dashboard,"Accuracy %, failed cases, and weak source table visible.",P1,Not Started,Dev,0.8,Day 9,PB-047,,
PB-049,Phase 11 UI,Frontend,Create layout and sidebar,"Responsive app shell with sidebar, header, active route, status badges.",P0,Not Started,Dev,0.8,Day 5,PB-003,,
PB-050,Phase 11 UI,Frontend,Create dashboard page,"Cards for docs, chunks, jobs, confidence, latency, provider, vector DB.",P1,Not Started,Dev,0.8,Day 8,"PB-028, PB-041",,
PB-051,Phase 11 UI,Frontend,Create multi-theme system,"Black, white, blue, red, gradient, custom color and localStorage persistence.",P0,Not Started,Dev,1.0,Day 8,PB-049,,
PB-052,Phase 11 UI,Frontend,Create settings page functionality,Model/vector/chunk/top-k settings UI connected to backend.,P1,Not Started,Dev,0.8,Day 9,"PB-008, PB-051",,
PB-053,Phase 12 Docs,Docs,Create product overview doc,Client-friendly product explanation and value proposition.,P1,Not Started,Dev,0.4,Day 9,PB-006,,
PB-054,Phase 12 Docs,Docs,Create developer setup doc,"Local setup, env, Docker, troubleshooting, commands.",P0,Not Started,Dev,0.6,Day 9,PB-005,,
PB-055,Phase 12 Docs,Docs,Create architecture docs,"Backend, frontend, full-stack, data flow, RAG flow documented.",P0,Not Started,Dev,0.8,Day 9,PB-039,,
PB-056,Phase 12 Docs,Docs,Create API reference docs,Every endpoint documented with request/response examples.,P1,Not Started,Dev,0.6,Day 9,"PB-040, PB-043, PB-047",,
PB-057,Phase 12 Docs,Docs,Create implementation tracker files,CSV and MD trackers exist and are updated by phase.,P0,Not Started,Dev,0.3,Day 1,PB-001,,
PB-058,Phase 13 Testing,Testing,Backend unit tests,"Tests for config, factories, chunking, freshness, scoring, health.",P0,Not Started,Dev,1.0,Day 9,PB-046,,
PB-059,Phase 13 Testing,Testing,Frontend basic tests,"App, theme switcher, chat page, sources page render tests.",P1,Not Started,Dev,0.8,Day 9,PB-052,,
PB-060,Phase 13 Testing,Testing,End-to-end smoke test,Local ingest -> query -> answer -> trace works with demo data.,P0,Not Started,Dev,1.0,Day 10,"PB-041, PB-044",,
PB-061,Phase 14 Deployment,Infra,Finalize Docker production build,Frontend nginx build and backend Dockerfile work cleanly.,P0,Not Started,Dev,0.8,Day 10,"PB-004, PB-051",,
PB-062,Phase 14 Deployment,Docs,Create deployment guide,Render/Railway/Fly/VPS style deployment guide with env notes.,P1,Not Started,Dev,0.6,Day 10,PB-061,,
PB-063,Phase 14 Deployment,Security,Add secrets and token handling notes,"Docs explain OAuth tokens, env files, and what not to commit.",P0,Not Started,Dev,0.5,Day 10,"PB-029, PB-054",,
PB-064,Phase 14 Final QA,Testing,Run full command checklist,make setup/docker-up/test/ingest-demo documented with actual result.,P0,Not Started,Dev,0.5,Day 10,"PB-060, PB-061",,
PB-065,Phase 14 Final QA,Docs,Final README update,"README has commands, architecture summary, known limitations, next steps.",P0,Not Started,Dev,0.5,Day 10,PB-064,,
